Unnamed: 0,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
0,1,Crit1,1,WhQ-One,WhQ,One,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-10.36809826424865,-10.88666206639514,-10.013393228208876,-10.597470741742,-10.45786328550777,-11.190582404856457,-10.499808125274065,-11.255856516490836,-10.499808125274065,-11.255856516490836,-9.765590765488174,-10.200690529310307
1,2,Crit1,1,WhQ-Both,WhQ,Both,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-10.36809826424865,-10.954521671853849,-10.013393228208876,-10.63618581688881,-10.45786328550777,-11.672918725281969,-9.765590765488174,-10.44678106210139,-10.499808125274065,-11.358245012561698,-9.765590765488174,-10.44678106210139
8,9,Crit2,2,WhQ-One,WhQ,One,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업만 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-10.457373081268882,-10.724080510740857,-10.147486628965323,-10.23230078260297,-10.41637277292673,-10.628104629823806,-10.7699539611085,-11.006287180212102,-10.7699539611085,-11.006287180212102,-10.155415960505474,-10.130013286899562
9,10,Crit2,2,WhQ-Both,WhQ,Both,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-10.457373081268882,-10.856084321757532,-10.147486628965323,-10.42873637776827,-10.41637277292673,-10.804432757814252,-10.155415960505474,-10.426244507700652,-10.7699539611085,-10.99685536936452,-10.155415960505474,-10.426244507700652
16,17,Crit3,3,WhQ-One,WhQ,One,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어만 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.213793201621458,-11.942723502326244,-10.858430084415224,-11.416300302962703,-11.286913543127278,-11.45123390016914,-10.480324562863212,-11.900426464484886,-10.480324562863212,-11.900426464484886,-12.047452767803042,-12.31500496478475
17,18,Crit3,3,WhQ-Both,WhQ,Both,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어랑 메기를 둘 다 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.213793201621458,-11.85275483068183,-10.858430084415224,-11.23583143982312,-11.286913543127278,-11.695367618635911,-12.047452767803042,-12.134793620004,-10.480324562863212,-11.87795931216893,-12.047452767803042,-12.134793620004
24,25,Crit4,4,WhQ-One,WhQ,One,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발만 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-11.157231955424963,-11.130249154380513,-10.870674838358388,-11.00319797708515,-10.88402413778094,-10.807529165197762,-11.01262621967814,-11.07040230601315,-11.01262621967814,-11.07040230601315,-10.380080550519493,-10.49347858958563
25,26,Crit4,4,WhQ-Both,WhQ,Both,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발이랑 가방을 둘 다 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-11.157231955424963,-11.733202824418573,-10.870674838358388,-11.61942020161772,-10.88402413778094,-11.609545333460051,-10.380080550519493,-10.836266631433745,-11.01262621967814,-11.89016648190916,-10.380080550519493,-10.836266631433745
32,33,Crit5,5,WhQ-One,WhQ,One,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터만 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-12.568904401231556,-13.661322919941416,-12.34341763296751,-13.532331490092725,-12.399567306097742,-13.07582863018206,-12.202287421242252,-13.488782885255562,-12.202287421242252,-13.488782885255562,-12.15450706616563,-12.941621938118905
33,34,Crit5,5,WhQ-Both,WhQ,Both,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-12.568904401231556,-13.55928754400861,-12.34341763296751,-13.418169302599646,-12.399567306097742,-13.38974279042499,-12.15450706616563,-13.035794997709168,-12.202287421242252,-13.66211127092796,-12.15450706616563,-13.035794997709168
