Unnamed: 0,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
0,1,Crit1,1,WhQ-One,WhQ,One,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-11.554910316150982,-11.308423969271852,-10.968656179775165,-10.711189847748669,-10.610513406521273,-10.557690145632137,-11.662955653528448,-11.401815210839136,-11.662955653528448,-11.401815210839136,-10.482242365884286,-10.289989173966305
1,2,Crit1,1,WhQ-Both,WhQ,Both,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-11.554910316150982,-11.16751636817006,-10.968656179775165,-10.59940984752978,-10.610513406521273,-10.602605952998797,-10.482242365884286,-10.447782393684696,-11.662955653528448,-11.399364933877854,-10.482242365884286,-10.447782393684696
8,9,Crit2,2,WhQ-One,WhQ,One,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업만 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-11.05432845908085,-11.34986399790476,-10.2879079171672,-10.878209862256805,-10.430649464643308,-10.915790394256428,-10.881953903849157,-11.555171620101952,-10.881953903849157,-11.555171620101952,-10.120951658408298,-10.41642914078769
9,10,Crit2,2,WhQ-Both,WhQ,Both,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-11.05432845908085,-11.171796721580897,-10.2879079171672,-10.546745068151909,-10.430649464643308,-10.54328062498873,-10.120951658408298,-10.547988397990432,-10.881953903849157,-11.638964718169513,-10.120951658408298,-10.547988397990432
16,17,Crit3,3,WhQ-One,WhQ,One,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어만 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.980762286687952,-12.58415324514674,-11.468570514931637,-12.225036634507031,-11.333329832101573,-11.709100470133318,-11.42115064323072,-12.18097890142216,-11.42115064323072,-12.18097890142216,-11.634140424238351,-12.128536530967407
17,18,Crit3,3,WhQ-Both,WhQ,Both,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어랑 메기를 둘 다 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.980762286687952,-12.571451635231425,-11.468570514931637,-12.174084673344437,-11.333329832101573,-11.83493560664112,-11.634140424238351,-12.448658003598815,-11.42115064323072,-12.461642687466291,-11.634140424238351,-12.448658003598815
24,25,Crit4,4,WhQ-One,WhQ,One,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발만 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-12.049617954363754,-11.562897463246076,-11.441846616397516,-11.01537629886093,-11.47732569396276,-11.190212275246386,-11.884128830788354,-11.293739522006389,-11.884128830788354,-11.293739522006389,-11.1384740208321,-10.850119586838384
25,26,Crit4,4,WhQ-Both,WhQ,Both,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발이랑 가방을 둘 다 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-12.049617954363754,-12.21874561678049,-11.441846616397516,-11.717369842313683,-11.47732569396276,-11.718173918732727,-11.1384740208321,-11.310059094868803,-11.884128830788354,-12.370015824338,-11.1384740208321,-11.310059094868803
32,33,Crit5,5,WhQ-One,WhQ,One,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터만 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-13.464689924651925,-14.127185750750751,-13.075319046234847,-13.978739943616024,-12.500813896181947,-13.269581329888434,-12.975825664874328,-14.014830864598911,-12.975825664874328,-14.014830864598911,-12.74295630082787,-13.213203576549525
33,34,Crit5,5,WhQ-Both,WhQ,Both,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-13.464689924651925,-14.01021054952349,-13.075319046234847,-13.989830396467976,-12.500813896181947,-13.272496154937627,-12.74295630082787,-13.33857734858635,-12.975825664874328,-14.135117718149466,-12.74295630082787,-13.33857734858635
